업무,공고번호-차수,분류,공고명,공고기관,수요기관,계약방법,입력일시(입찰마감일시),
용역,20200525540-00,긴급,2020년 공유재산 실태조사 용역-긴급,충청남도 보령시,충청남도 보령시,제한경쟁,2020/05/20 22:44(2020/05/27 10:00),
용역,20200525901-00,일반,내일채움공제 제도개선 및 발전방향 수립 연구용역,중소벤처기업진흥공단,중소벤처기업진흥공단,제한(총액)협상에의한계약,2020/05/20 22:30(2020/06/01 10:00),
용역,20200525872-00,일반,어촌자원을 활용한 내수면 발전 기본계획 연구용역(협상에 의한 계약),강원도 춘천시 농업기술센터,강원도 춘천시 농업기술센터,일반(총액)협상에의한계약,2020/05/20 21:49(-),
용역,20200521824-01,취소,금산다락원 스포츠센터 리모델링공사 폐기물처리 용역,충청남도 금산군 금산다락원,충청남도 금산군 금산다락원,수의(총액)소액-견적입찰(2인 이상 견적 제출),2020/05/20 21:44(2020/05/25 10:00),
용역,20200525858-00,일반,영문학술저널(Journal of Korean Art and Archaeology) 제15호 위탁 출판 및 유통,문화체육관광부 국립중앙박물관,문화체육관광부 국립중앙박물관,제한(총액)협상에의한계약,2020/05/20 21:34(2020/05/27 10:00),
용역,20200525461-01,변경,평창 친환경 고기능성 스마트진생 원료화를 위한 재배 실증 용역,사단법인 평창 신활력 추진단,사단법인 평창 신활력 추진단,제한(총액)협상에의한계약,2020/05/20 20:58(-),
용역,20200525481-01,변경,평창양배추 식품 소재화 및 산야초 신규 소재 발굴,사단법인 평창 신활력 추진단,사단법인 평창 신활력 추진단,제한(총액)협상에의한계약,2020/05/20 20:55(-),
용역,20200524671-00,긴급,2020년 국제 지식재산 나눔사업 에티오피아 적정기술(양봉기술) 개발보급 용역 사업,조달청 서울지방조달청,한국발명진흥회,제한(총액)협상에의한계약,2020/05/20 20:51(2020/06/03 10:00),
용역,20200525784-00,일반,(P.Q.후 가격입찰)2025년 고성군관리계획(재정비) 수립 용역,경상남도 고성군,경상남도 고성군,지명경쟁,2020/05/20 20:49(2020/05/27 10:00),
용역,20200525185-00,일반,국립세종수목원 홈페이지 구축 용역,조달청 대구지방조달청,한국수목원관리원,제한(총액)협상에의한계약,2020/05/20 20:38(2020/06/03 10:00),
용역,20200509616-00,일반,충북시청자미디어센터 개관기념식 대행 용역,조달청 서울지방조달청,시청자미디어재단,제한(총액)협상에의한계약,2020/05/20 20:38(2020/06/02 10:00),
용역,20200525800-00,일반,대죽 공공폐수처리시설 시설물 개선공사 실시설계용역,충청남도 서산시,충청남도 서산시,수의(총액)소액-견적입찰(2인 이상 견적 제출),2020/05/20 20:32(2020/05/26 10:00),
용역,20200525799-00,일반,PCRM기반 빅데이터 플랫폼 구축 감리 용역,중소벤처기업진흥공단,중소벤처기업진흥공단,제한(총액)협상에의한계약,2020/05/20 20:29(2020/06/01 10:00),
용역,20200524673-00,긴급,전기차 공공급속충전인프라 운영효율화 및 운영방향 로드맵 수립,조달청 인천지방조달청,한국환경공단,제한(총액)협상에의한계약,2020/05/20 20:28(2020/06/03 10:00),
용역,20200523102-00,일반,"경기아트센터 청소년 국악체험용 대형천막 임차 및 설치, 관리 업체선정",조달청 인천지방조달청,재단법인 경기도문화의전당,제한(총액),2020/05/20 20:23(2020/05/29 10:00),
용역,20200524892-00,일반,2020년도 사회서비스 전자바우처시스템 기능개선 사업,조달청,보건복지부,제한(총액)협상에의한계약,2020/05/20 20:18(2020/06/02 10:00),
용역,20200525062-00,일반,충남형 대기질 분석·진단시스템 고도화 용역,조달청,충청남도 보건환경연구원,제한(총액)협상에의한계약,2020/05/20 20:15(2020/06/10 10:00),
용역,20200525787-00,일반,봉강면 하조마을 취약지역 생활여건 개조사업 폐기물 처리용역,전라남도 광양시,전라남도 광양시,제한(총액),2020/05/20 20:12(2020/05/28 10:00),
용역,20200525780-00,일반,제조 중소기업 혁신바우처 사업 관리시스템 구축 감리 용역,중소벤처기업진흥공단,중소벤처기업진흥공단,제한(총액)협상에의한계약,2020/05/20 20:09(2020/06/01 10:00),
용역,20200525772-00,일반,태인동 생활안전가로 개설공사 건설폐기물 처리용역,전라남도 광양시,전라남도 광양시,제한(총액),2020/05/20 20:05(2020/05/28 10:00),
용역,20200522495-02,변경,2020년 빅데이터 활용 중소기업 마케팅 지원사업 컨설팅 용역,재단법인강원테크노파크,재단법인강원테크노파크,제한(총액)협상에의한계약,2020/05/20 20:00(-),
용역,20200523715-00,일반,포항종합운동장 전광판 교체공사 실시설계 용역 수의견적 제출안내 공고,경상북도 포항시,경상북도 포항시,수의(총액)소액-견적입찰(2인 이상 견적 제출),2020/05/20 19:38(2020/05/26 10:00),
용역,20200525740-00,일반,2020년 양산지사 열수송관공사 불연성 건설폐기물처리용역 단가계약,한국지역난방공사 양산지사,한국지역난방공사 양산지사,제한(단가),2020/05/20 19:30(2020/05/27 14:00),
용역,20200525724-00,일반,고삼~삼죽(1)간 도로확포장공사 교통안전진단용역,경기도 경기도건설본부,경기도 경기도건설본부,수의(총액)소액-견적입찰(2인 이상 견적 제출),2020/05/20 19:28(2020/05/27 10:00),
용역,20200525735-00,일반,자동차안전기준 체계정비 전면 개정안 연구용역,한국교통안전공단 자동차안전연구원,한국교통안전공단 자동차안전연구원,제한(총액)규격가격동시,2020/05/20 19:27(2020/06/01 11:00),
용역,20200525732-00,일반,2020년 조림지 풀베기사업(동부지구)실시설계 용역,충청남도 부여군,충청남도 부여군,수의(총액)소액-견적입찰(2인 이상 견적 제출),2020/05/20 19:26(2020/05/26 10:00),
용역,20200525721-00,일반,2020년 조림지 풀베기사업(서부지구)실시설계 용역,충청남도 부여군,충청남도 부여군,수의(총액)소액-견적입찰(2인 이상 견적 제출),2020/05/20 19:20(2020/05/26 10:00),
용역,20200525722-00,일반,이민마을(거류302호) 도로 확포장공사 폐기물처리용역 견적 제출,경상남도 고성군,경상남도 고성군,수의(총액)소액-견적입찰(2인 이상 견적 제출),2020/05/20 19:19(2020/05/25 10:00),
용역,20200525716-00,긴급,난곡로 26길 주변 함께 사는 골목길 환경조성 기본 및 실시설계 용역,서울특별시 관악구,서울특별시 관악구,제한(총액)협상에의한계약,2020/05/20 19:18(2020/06/02 16:00),
용역,20200525704-00,일반,자율주행 인공지능 학습용 데이터 가공 용역,한국교통안전공단 자동차안전연구원,한국교통안전공단 자동차안전연구원,일반(총액)규격가격동시,2020/05/20 19:17(2020/06/01 11:00),
용역,20200525699-00,일반,삼만소하천 정비사업 폐기물처리용역,전라남도 담양군,전라남도 담양군,수의(총액)소액수의,2020/05/20 19:01(2020/05/26 10:00),
용역,20200525698-00,일반,제2020-07호 강동경희대학교병원 위탁급식(환자식 및 직원식) 사업자 선정 입찰,강동경희대학교병원,강동경희대학교병원,제한(총액)2단계경쟁,2020/05/20 19:01(-),
용역,20200524670-00,일반,달서구 문화도시 조성계획 수립 연구용역(협상에 의한 계약)(재공고),대구광역시 달서구,대구광역시 달서구,제한(총액)협상에의한계약,2020/05/20 18:55(-),
